Steps: 2000	Recognition Loss: 0.38100	Translation Loss: 57667.94922	PPL: 320.80533	Eval Metric: bleu	WER 0.07	(DEL: 0.00,	INS: 0.00,	SUB: 0.07)	BLEU-4 0.56	(BLEU-1: 12.85,	BLEU-2: 4.42,	BLEU-3: 1.52,	BLEU-4: 0.56)	CHRF 14.13	ROUGE 11.73	LR: 0.00010000	*
Steps: 4000	Recognition Loss: 0.12640	Translation Loss: 60245.44922	PPL: 415.20203	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.74	(BLEU-1: 12.92,	BLEU-2: 4.39,	BLEU-3: 1.68,	BLEU-4: 0.74)	CHRF 17.08	ROUGE 11.47	LR: 0.00010000	*
Steps: 6000	Recognition Loss: 0.07149	Translation Loss: 65765.84375	PPL: 721.39807	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.36	(BLEU-1: 12.15,	BLEU-2: 3.81,	BLEU-3: 1.04,	BLEU-4: 0.36)	CHRF 16.52	ROUGE 10.17	LR: 0.00010000	
Steps: 8000	Recognition Loss: 0.04049	Translation Loss: 72037.62500	PPL: 1351.28186	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.72	(BLEU-1: 11.23,	BLEU-2: 3.38,	BLEU-3: 1.46,	BLEU-4: 0.72)	CHRF 16.75	ROUGE 9.84	LR: 0.00010000	
Steps: 10000	Recognition Loss: 0.01643	Translation Loss: 76813.04688	PPL: 2179.14014	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.98	(BLEU-1: 12.65,	BLEU-2: 4.31,	BLEU-3: 1.89,	BLEU-4: 0.98)	CHRF 17.93	ROUGE 10.50	LR: 0.00010000	*
Steps: 12000	Recognition Loss: 0.01661	Translation Loss: 81780.73438	PPL: 3582.45166	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.66	(BLEU-1: 10.87,	BLEU-2: 3.44,	BLEU-3: 1.40,	BLEU-4: 0.66)	CHRF 16.95	ROUGE 9.58	LR: 0.00010000	
Steps: 14000	Recognition Loss: 0.01705	Translation Loss: 84557.00781	PPL: 4729.73340	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.74	(BLEU-1: 11.62,	BLEU-2: 3.78,	BLEU-3: 1.51,	BLEU-4: 0.74)	CHRF 17.34	ROUGE 9.81	LR: 0.00010000	
Steps: 16000	Recognition Loss: 0.00896	Translation Loss: 87281.92969	PPL: 6212.42920	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.66	(BLEU-1: 10.75,	BLEU-2: 3.29,	BLEU-3: 1.31,	BLEU-4: 0.66)	CHRF 16.85	ROUGE 9.17	LR: 0.00010000	
Steps: 18000	Recognition Loss: 0.00821	Translation Loss: 87199.53125	PPL: 6161.41553	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.53	(BLEU-1: 10.75,	BLEU-2: 3.31,	BLEU-3: 1.22,	BLEU-4: 0.53)	CHRF 17.14	ROUGE 9.11	LR: 0.00010000	
Steps: 20000	Recognition Loss: 0.01102	Translation Loss: 89021.74219	PPL: 7393.89600	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.75	(BLEU-1: 10.47,	BLEU-2: 3.41,	BLEU-3: 1.42,	BLEU-4: 0.75)	CHRF 17.24	ROUGE 9.21	LR: 0.00010000	
Steps: 22000	Recognition Loss: 0.01121	Translation Loss: 89814.08594	PPL: 8004.03027	Eval Metric: bleu	WER 0.00	(DEL: 0.00,	INS: 0.00,	SUB: 0.00)	BLEU-4 0.86	(BLEU-1: 11.00,	BLEU-2: 3.33,	BLEU-3: 1.53,	BLEU-4: 0.86)	CHRF 16.86	ROUGE 9.59	LR: 0.00010000	
